"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Depth_metres_mean","Richness","Temp_bin","AbsLatitude","LatRegion","Zone","n_bin"
"ERR867756.ERS667636","ERS667636","SGRP162398","aquatic","AMPLICON",21.7715333333333,-27.2,NA,14.5,1221,22,27.2,"Tropics_Subtropics","tropical",22
"ERR1756148.ERS493810","ERS493810","SGRP231783","aquatic","AMPLICON",21.9850743333333,6.3374,NA,66.9444444444444,924,22,6.3374,"Tropics_Subtropics","tropical",22
"ERR1756029.ERS493810","ERS493810","SGRP231783","aquatic","AMPLICON",21.9850743333333,6.3374,NA,66.9444444444444,778,22,6.3374,"Tropics_Subtropics","tropical",22
"ERR1756137.ERS493153","ERS493153","SGRP231783","aquatic","AMPLICON",21.9850743333333,6.8299,NA,66.9444444444444,648,22,6.8299,"Tropics_Subtropics","tropical",22
"ERR1759719.ERS492314","ERS492314","SGRP231783","aquatic","AMPLICON",21.9850743333333,-1.7942,NA,66.9444444444444,630,22,1.7942,"Tropics_Subtropics","tropical",22
"ERR1756129.ERS493976","ERS493976","SGRP231783","aquatic","AMPLICON",21.9850743333333,25.5896,NA,66.9444444444444,967,22,25.5896,"Tropics_Subtropics","tropical",22
"ERR1756239.ERS494045","ERS494045","SGRP231783","aquatic","AMPLICON",21.9850743333333,29.6757,NA,66.9444444444444,889,22,29.6757,"Tropics_Subtropics","tropical",22
"ERR1756324.ERS489411","ERS489411","SGRP231783","aquatic","AMPLICON",21.9850743333333,-21.4801,NA,66.9444444444444,726,22,21.4801,"Tropics_Subtropics","tropical",22
"ERR1756344.ERS492313","ERS492313","SGRP231783","aquatic","AMPLICON",21.9850743333333,-1.7942,NA,66.9444444444444,780,22,1.7942,"Tropics_Subtropics","tropical",22
"SRR8190838.SRS4044394","SRS4044394","SGRP132357","aquatic","AMPLICON",22.1744523809524,27.60889,NA,457.452380952381,717,22,27.60889,"Tropics_Subtropics","tropical",22
"SRR8190806.SRS4044426","SRS4044426","SGRP132357","aquatic","AMPLICON",22.1744523809524,16.4177,NA,457.452380952381,745,22,16.4177,"Tropics_Subtropics","tropical",22
"SRR8190818.SRS4044414","SRS4044414","SGRP132357","aquatic","AMPLICON",22.1744523809524,20.0767,NA,457.452380952381,716,22,20.0767,"Tropics_Subtropics","tropical",22
"SRR8190821.SRS4044411","SRS4044411","SGRP132357","aquatic","AMPLICON",22.1744523809524,20.0767,NA,457.452380952381,716,22,20.0767,"Tropics_Subtropics","tropical",22
"SRR8190988.SRS4044244","SRS4044244","SGRP132357","aquatic","AMPLICON",22.1744523809524,17.73575,NA,457.452380952381,658,22,17.73575,"Tropics_Subtropics","tropical",22
"SRR8190817.SRS4044415","SRS4044415","SGRP132357","aquatic","AMPLICON",22.1744523809524,20.0767,NA,457.452380952381,663,22,20.0767,"Tropics_Subtropics","tropical",22
"SRR8190773.SRS4044459","SRS4044459","SGRP132357","aquatic","AMPLICON",22.1744523809524,18.97355,NA,457.452380952381,636,22,18.97355,"Tropics_Subtropics","tropical",22
"SRR8190777.SRS4044455","SRS4044455","SGRP132357","aquatic","AMPLICON",22.1744523809524,27.59056,NA,457.452380952381,753,22,27.59056,"Tropics_Subtropics","tropical",22
"SRR8190850.SRS4044382","SRS4044382","SGRP132357","aquatic","AMPLICON",22.1744523809524,20.07805,NA,457.452380952381,646,22,20.07805,"Tropics_Subtropics","tropical",22
"SRR8190815.SRS4044417","SRS4044417","SGRP132357","aquatic","AMPLICON",22.1744523809524,21.33121,NA,457.452380952381,656,22,21.33121,"Tropics_Subtropics","tropical",22
"SRR8190987.SRS4044245","SRS4044245","SGRP132357","aquatic","AMPLICON",22.1744523809524,17.73575,NA,457.452380952381,663,22,17.73575,"Tropics_Subtropics","tropical",22
"SRR8190802.SRS4044430","SRS4044430","SGRP132357","aquatic","AMPLICON",22.1744523809524,16.4177,NA,457.452380952381,819,22,16.4177,"Tropics_Subtropics","tropical",22
"ERR2599738.ERS2513817","ERS2513817","SGRP13918","aquatic","AMPLICON",22.4505142857143,-17.2627413,NA,35.4857142857143,681,22,17.2627413,"Tropics_Subtropics","tropical",22
"ERR562489.ERS488824","ERS488824","SGRP231932","aquatic","AMPLICON",22.9639845714286,19.0172,NA,27.1428571428571,982,23,19.0172,"Tropics_Subtropics","tropical",16
"ERR1756046.ERS492598","ERS492598","SGRP231932","aquatic","AMPLICON",22.9639845714286,-23.1,NA,27.1428571428571,1136,23,23.1,"Tropics_Subtropics","tropical",16
"SRR3295204.SRS1361764","SRS1361764","SGRP347243","aquatic;river","AMPLICON",23,24.14,7.96888888888889,NA,1179,23,24.14,"Tropics_Subtropics","tropical",16
"SRR3295203.SRS1361764","SRS1361764","SGRP347243","aquatic;river","AMPLICON",23,24.14,7.96888888888889,NA,1321,23,24.14,"Tropics_Subtropics","tropical",16
"SRR3295193.SRS1361760","SRS1361760","SGRP347243","aquatic;river","AMPLICON",23,18.465,7.96888888888889,NA,1376,23,18.465,"Tropics_Subtropics","tropical",16
"SRR3295205.SRS1361764","SRS1361764","SGRP347243","aquatic;river","AMPLICON",23,24.14,7.96888888888889,NA,1569,23,24.14,"Tropics_Subtropics","tropical",16
"SRR6078664.SRS2543006","SRS2543006","SGRP241973","aquatic;lake","AMPLICON",23.2093333333333,-22.0117,6.20333333333333,NA,1021,23,22.0117,"Tropics_Subtropics","tropical",16
"SRR6078661.SRS2543009","SRS2543009","SGRP241973","aquatic;lake","AMPLICON",23.2093333333333,-24.536472,6.20333333333333,NA,1069,23,24.536472,"Tropics_Subtropics","tropical",16
"SRR6078671.SRS2542999","SRS2542999","SGRP241973","aquatic;lake","AMPLICON",23.2093333333333,-22.182067,6.20333333333333,NA,1073,23,22.182067,"Tropics_Subtropics","tropical",16
"SRR6078673.SRS2542997","SRS2542997","SGRP241973","aquatic;lake","AMPLICON",23.2093333333333,-23.928796,6.20333333333333,NA,1098,23,23.928796,"Tropics_Subtropics","tropical",16
"SRR6078670.SRS2543000","SRS2543000","SGRP241973","aquatic;lake","AMPLICON",23.2093333333333,-22.621383,6.20333333333333,NA,1204,23,22.621383,"Tropics_Subtropics","tropical",16
"SRR6078672.SRS2542998","SRS2542998","SGRP241973","aquatic;lake","AMPLICON",23.2093333333333,-23.586667,6.20333333333333,NA,996,23,23.586667,"Tropics_Subtropics","tropical",16
"ERR562429.ERS490446","ERS490446","SGRP253434","aquatic","AMPLICON",23.2260244,-8.7788,NA,5,1652,23,8.7788,"Tropics_Subtropics","tropical",16
