"SampleID","ComClustID","Env_cons","Temperature_C_mean","pH_mean","Richness","Temp_bin","weight"
"SRR1552687.SRS685737","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2596,9,94
"SRR1552686.SRS685736","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2604,9,94
"SRR1552639.SRS685689","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2595,9,94
"SRR1552628.SRS685678","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2601,9,94
"SRR1552659.SRS685709","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2599,9,94
"SRR1552661.SRS685712","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2594,9,94
"SRR1552634.SRS685684","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2602,9,94
"SRR1552688.SRS685738","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2598,9,94
"SRR1552629.SRS685679","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2595,9,94
"SRR1552716.SRS685766","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2598,9,94
"SRR1552656.SRS685706","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2599,9,94
"SRR1552683.SRS685733","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2599,9,94
"SRR1552664.SRS685713","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2603,9,94
"SRR1552644.SRS685694","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2599,9,94
"SRR1552630.SRS685680","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2603,9,94
"SRR1552666.SRS685716","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2605,9,94
"SRR1552635.SRS685685","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2607,9,94
"SRR1552662.SRS685711","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2598,9,94
"SRR1552668.SRS685718","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2600,9,94
"SRR1552670.SRS685720","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2599,9,94
"SRR1552714.SRS685764","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2604,9,94
"SRR1552678.SRS685728","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2600,9,94
"SRR1552622.SRS685672","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2601,9,94
"SRR1552689.SRS685739","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2608,9,94
"SRR1552660.SRS685710","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2597,9,94
"SRR1552704.SRS685753","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2601,9,94
"SRR1552647.SRS685697","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2598,9,94
"SRR1552723.SRS685772","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2599,9,94
"SRR1552677.SRS685727","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2597,9,94
"SRR1552708.SRS685758","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2607,9,94
"SRR1552701.SRS685751","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2598,9,94
"SRR1552698.SRS685748","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2599,9,94
"SRR1552693.SRS685744","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2600,9,94
"SRR1552680.SRS685730","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2607,9,94
"SRR1552721.SRS685769","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2605,9,94
"SRR1552679.SRS685729","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2599,9,94
"SRR1552681.SRS685731","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2600,9,94
"SRR1552705.SRS685755","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2601,9,94
"SRR1552703.SRS685754","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2604,9,94
"SRR1552685.SRS685735","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2596,9,94
"SRR1552709.SRS685759","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2600,9,94
"SRR1552619.SRS685671","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2602,9,94
"SRR1552692.SRS685743","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2601,9,94
"SRR1552621.SRS685670","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2609,9,94
"SRR1552624.SRS685674","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2607,9,94
"SRR1552707.SRS685757","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2597,9,94
"SRR1552702.SRS685752","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2602,9,94
"SRR1552669.SRS685719","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2600,9,94
"SRR1552674.SRS685724","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2605,9,94
"SRR1552673.SRS685723","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2599,9,94
"SRR1552657.SRS685707","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2603,9,94
"SRR1552700.SRS685750","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2595,9,94
"SRR1552711.SRS685761","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2598,9,94
"SRR1552712.SRS685762","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2600,9,94
"SRR1552627.SRS685677","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2602,9,94
"SRR1552663.SRS685714","SGRP322192","aquatic;lake",8.51641791044776,7.63826666666667,2596,9,94
"SRR3286067.SRS1357092","SGRP215530","aquatic",9.43618162114286,6.58955617628571,6670,9,94
"ERR392322.ERS387032","SGRP302249","aquatic",10.54,8.846,1292,11,95
"ERR1531052.ERS1248216","SGRP302249","aquatic",10.54,8.846,1325,11,95
"ERR1531055.ERS1248219","SGRP302249","aquatic",10.54,8.846,1452,11,95
"ERR392334.ERS387044","SGRP302249","aquatic",10.54,8.846,1406,11,95
"SRR3742480.SRS1539712","SGRP333023","soil;field",10.9421052631579,8.32657894736842,1344,11,95
"SRR3742409.SRS1539643","SGRP333023","soil;field",10.9421052631579,8.32657894736842,1273,11,95
"SRR3742507.SRS1539738","SGRP333023","soil;field",10.9421052631579,8.32657894736842,1246,11,95
"SRR3742513.SRS1539745","SGRP333023","soil;field",10.9421052631579,8.32657894736842,1874,11,95
"SRR3742487.SRS1539720","SGRP333023","soil;field",10.9421052631579,8.32657894736842,1371,11,95
"SRR3742499.SRS1539731","SGRP333023","soil;field",10.9421052631579,8.32657894736842,1527,11,95
"SRR3742495.SRS1539728","SGRP333023","soil;field",10.9421052631579,8.32657894736842,1570,11,95
"SRR3742474.SRS1539707","SGRP333023","soil;field",10.9421052631579,8.32657894736842,1430,11,95
"SRR3742508.SRS1539740","SGRP333023","soil;field",10.9421052631579,8.32657894736842,1742,11,95
"ERR1531058.ERS1248222","SGRP302246","aquatic",11.0454545454545,8.79454545454545,1218,11,95
"ERR392343.ERS387053","SGRP302246","aquatic",11.0454545454545,8.79454545454545,1262,11,95
"ERR392315.ERS387025","SGRP302246","aquatic",11.0454545454545,8.79454545454545,1287,11,95
"ERR1531062.ERS1248226","SGRP302246","aquatic",11.0454545454545,8.79454545454545,1326,11,95
"ERR1531061.ERS1248225","SGRP302246","aquatic",11.0454545454545,8.79454545454545,1302,11,95
