"SampleID","ComClustID","Env_cons","Temperature_C_mean","Richness","Temp_bin"
"SRR3821058.SRS1551756","SGRP289595","aquatic",0.401,449,0
"SRR3821171.SRS1551799","SGRP289595","aquatic",0.401,463,0
"SRR3821653.SRS1552011","SGRP289595","aquatic",0.401,493,0
"SRR3821656.SRS1552000","SGRP289595","aquatic",0.401,645,0
"SRR5902208.SRS2408897","SGRP198269","aquatic;sea",0.407692307692308,406,0
"SRR5902212.SRS2408901","SGRP198269","aquatic;sea",0.407692307692308,325,0
"SRR5902207.SRS2408896","SGRP198269","aquatic;sea",0.407692307692308,56,0
"SRR5902214.SRS2408903","SGRP198269","aquatic;sea",0.407692307692308,392,0
"SRR5902235.SRS2408924","SGRP198269","aquatic;sea",0.407692307692308,100,0
"SRR5902243.SRS2408932","SGRP198269","aquatic;sea",0.407692307692308,107,0
"SRR5902232.SRS2408921","SGRP198269","aquatic;sea",0.407692307692308,36,0
"SRR5902247.SRS2408937","SGRP198269","aquatic;sea",0.407692307692308,113,0
"SRR5902236.SRS2408925","SGRP198269","aquatic;sea",0.407692307692308,265,0
"SRR5902211.SRS2408900","SGRP198269","aquatic;sea",0.407692307692308,46,0
"SRR5902239.SRS2408927","SGRP198269","aquatic;sea",0.407692307692308,47,0
"SRR5902234.SRS2408923","SGRP198269","aquatic;sea",0.407692307692308,64,0
"SRR5902237.SRS2408926","SGRP198269","aquatic;sea",0.407692307692308,46,0
"ERR3002005.ERS2985106","SGRP42105","aquatic;estuary",0.446666666666667,436,0
"ERR3002004.ERS2985105","SGRP42105","aquatic;estuary",0.446666666666667,427,0
"ERR3001997.ERS2985098","SGRP42105","aquatic;estuary",0.446666666666667,634,0
"ERR3001996.ERS2985097","SGRP42105","aquatic;estuary",0.446666666666667,650,0
"ERR3001988.ERS2985089","SGRP42105","aquatic;estuary",0.446666666666667,492,0
"ERR3001989.ERS2985090","SGRP42105","aquatic;estuary",0.446666666666667,451,0
"ERR3001993.ERS2985094","SGRP42102","aquatic;estuary",0.448,619,0
