"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Depth_metres_mean","Richness","Temp_bin","AbsLatitude","LatRegion"
"ERR2242603.ERS2085478","ERS2085478","SGRP216012","aquatic","AMPLICON",3,63.4468,NA,80,500,3,63.4468,"Polar_Subpolar"
"ERR2242616.ERS2085491","ERS2085491","SGRP216012","aquatic","AMPLICON",3,63.4468,NA,80,838,3,63.4468,"Polar_Subpolar"
"ERR2242604.ERS2085479","ERS2085479","SGRP216012","aquatic","AMPLICON",3,63.4468,NA,80,447,3,63.4468,"Polar_Subpolar"
"ERR2242601.ERS2085476","ERS2085476","SGRP216012","aquatic","AMPLICON",3,63.4468,NA,80,455,3,63.4468,"Polar_Subpolar"
"ERR2242609.ERS2085484","ERS2085484","SGRP216012","aquatic","AMPLICON",3,63.4468,NA,80,446,3,63.4468,"Polar_Subpolar"
"ERR2242619.ERS2085494","ERS2085494","SGRP216012","aquatic","AMPLICON",3,63.4468,NA,80,616,3,63.4468,"Polar_Subpolar"
"ERR2242617.ERS2085492","ERS2085492","SGRP216012","aquatic","AMPLICON",3,63.4468,NA,80,761,3,63.4468,"Polar_Subpolar"
"ERR2242606.ERS2085481","ERS2085481","SGRP216012","aquatic","AMPLICON",3,63.4468,NA,80,544,3,63.4468,"Polar_Subpolar"
"ERR2242605.ERS2085480","ERS2085480","SGRP216012","aquatic","AMPLICON",3,63.4468,NA,80,440,3,63.4468,"Polar_Subpolar"
"ERR1535970.ERS1254445","ERS1254445","SGRP36337","aquatic;lake","AMPLICON",3.00590612244898,47.606,7.97497959183674,146.697,398,3,47.606,"Temperate"
"SRR10522043.SRS5719195","SRS5719195","SGRP36337","aquatic;lake","AMPLICON",3.00590612244898,47.16444,7.97497959183674,146.697,490,3,47.16444,"Temperate"
"ERR1535974.ERS1254449","ERS1254449","SGRP36337","aquatic;lake","AMPLICON",3.00590612244898,47.606,7.97497959183674,146.697,407,3,47.606,"Temperate"
"SRR6342055.SRS2731136","SRS2731136","SGRP198998","aquatic","AMPLICON",3.625,27.37676,NA,NA,651,4,27.37676,"Tropics_Subtropics"
"SRR6342060.SRS2731133","SRS2731133","SGRP198998","aquatic","AMPLICON",3.625,27.30519,NA,NA,536,4,27.30519,"Tropics_Subtropics"
