"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Depth_metres_mean","Richness","Temp_bin","Zone","n_bin"
"SRR3500175.SRS1434441","SRS1434441","SGRP352485","aquatic","AMPLICON",2.72727272727273,54.454153,NA,NA,643,3,"temperate",36
"SRR3143743.SRS1274520","SRS1274520","SGRP394890","aquatic","AMPLICON",2.77777777777778,55.028389,NA,NA,398,3,"temperate",36
"SRR3143739.SRS1274523","SRS1274523","SGRP394890","aquatic","AMPLICON",2.77777777777778,55.028389,NA,NA,518,3,"temperate",36
"SRR3143738.SRS1274524","SRS1274524","SGRP394890","aquatic","AMPLICON",2.77777777777778,55.028389,NA,NA,499,3,"temperate",36
"SRR3500107.SRS1434744","SRS1434744","SGRP352491","aquatic","AMPLICON",2.85714285714286,54.454153,NA,NA,421,3,"temperate",36
"SRR3500114.SRS1434749","SRS1434749","SGRP352491","aquatic","AMPLICON",2.85714285714286,54.454153,NA,NA,580,3,"temperate",36
"SRR3500110.SRS1434746","SRS1434746","SGRP352491","aquatic","AMPLICON",2.85714285714286,54.454153,NA,NA,415,3,"temperate",36
"ERR1535950.ERS1254425","ERS1254425","SGRP36337","aquatic;lake","AMPLICON",3.00590612244898,43.8,7.97497959183674,146.697,396,3,"temperate",36
"ERR1535970.ERS1254445","ERS1254445","SGRP36337","aquatic;lake","AMPLICON",3.00590612244898,47.606,7.97497959183674,146.697,398,3,"temperate",36
"SRR10522043.SRS5719195","SRS5719195","SGRP36337","aquatic;lake","AMPLICON",3.00590612244898,47.16444,7.97497959183674,146.697,490,3,"temperate",36
"ERR1535974.ERS1254449","ERS1254449","SGRP36337","aquatic;lake","AMPLICON",3.00590612244898,47.606,7.97497959183674,146.697,407,3,"temperate",36
"ERR1742955.ERS1459832","ERS1459832","SGRP70220","aquatic;lake","AMPLICON",3.97549019607843,55.226667,8.17549019607843,1.52103448275862,517,4,"temperate",18
"SRR3358916.SRS1384891","SRS1384891","SGRP401676","aquatic","AMPLICON",4.052,42.26,NA,16.6,634,4,"temperate",18
"SRR3359276.SRS1384923","SRS1384923","SGRP215524","aquatic","AMPLICON",4.34933333333333,42.26,NA,19.3529411764706,516,4,"temperate",18
"SRR1653450.SRS744894","SRS744894","SGRP215524","aquatic","AMPLICON",4.34933333333333,42.433641,NA,19.3529411764706,714,4,"temperate",18
"SRR3358855.SRS1384880","SRS1384880","SGRP215524","aquatic","AMPLICON",4.34933333333333,42.26,NA,19.3529411764706,713,4,"temperate",18
"SRR3358799.SRS1384837","SRS1384837","SGRP215524","aquatic","AMPLICON",4.34933333333333,42.26,NA,19.3529411764706,835,4,"temperate",18
"SRR3359282.SRS1384918","SRS1384918","SGRP215524","aquatic","AMPLICON",4.34933333333333,42.26,NA,19.3529411764706,620,4,"temperate",18
"SRR3358856.SRS1384879","SRS1384879","SGRP215524","aquatic","AMPLICON",4.34933333333333,42.26,NA,19.3529411764706,513,4,"temperate",18
"SRR3358854.SRS1384881","SRS1384881","SGRP215524","aquatic","AMPLICON",4.34933333333333,42.26,NA,19.3529411764706,627,4,"temperate",18
"SRR3358890.SRS1384885","SRS1384885","SGRP215524","aquatic","AMPLICON",4.34933333333333,42.26,NA,19.3529411764706,532,4,"temperate",18
"ERR1897144.ERS1627582","ERS1627582","SGRP86738","aquatic;lake","AMPLICON",4.4,53.167,9.5,2.807,528,4,"temperate",18
"ERR1897174.ERS1627612","ERS1627612","SGRP86738","aquatic;lake","AMPLICON",4.4,53.167,9.5,2.807,539,4,"temperate",18
"SRR3359340.SRS1384965","SRS1384965","SGRP215521","aquatic","AMPLICON",4.45235294117647,42.26,NA,18.1176470588235,539,4,"temperate",18
"SRR3359307.SRS1356967","SRS1356967","SGRP215521","aquatic","AMPLICON",4.45235294117647,42.26,NA,18.1176470588235,657,4,"temperate",18
"SRR3359302.SRS1356969","SRS1356969","SGRP215521","aquatic","AMPLICON",4.45235294117647,42.26,NA,18.1176470588235,675,4,"temperate",18
"SRR3359319.SRS1384948","SRS1384948","SGRP215521","aquatic","AMPLICON",4.45235294117647,42.26,NA,18.1176470588235,526,4,"temperate",18
