"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Richness","Temp_bin","AbsLatitude","LatRegion"
"SRR4241972.SRS1690909","SRS1690909","SGRP330808","aquatic","AMPLICON",1.66666666666667,NA,NA,402,2,NA,"Unknown"
"SRR5000877.SRS1787241","SRS1787241","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,448,2,NA,"Unknown"
"SRR5000849.SRS1787213","SRS1787213","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,383,2,NA,"Unknown"
"SRR5000912.SRS1787276","SRS1787276","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,619,2,NA,"Unknown"
"SRR5000863.SRS1787227","SRS1787227","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,382,2,NA,"Unknown"
"SRR5000953.SRS1787317","SRS1787317","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,585,2,NA,"Unknown"
"SRR5000848.SRS1787212","SRS1787212","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,778,2,NA,"Unknown"
"SRR5000922.SRS1787286","SRS1787286","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,435,2,NA,"Unknown"
"SRR5000977.SRS1787341","SRS1787341","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,739,2,NA,"Unknown"
"SRR3143699.SRS1274594","SRS1274594","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,398,2,NA,"Unknown"
"SRR5000865.SRS1787229","SRS1787229","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,539,2,NA,"Unknown"
"SRR5000943.SRS1787307","SRS1787307","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,413,2,NA,"Unknown"
"SRR5000981.SRS1787347","SRS1787347","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,718,2,NA,"Unknown"
"SRR5000979.SRS1787342","SRS1787342","SGRP5140","aquatic","AMPLICON",1.66666666666667,NA,NA,493,2,NA,"Unknown"
"SRR1980852.SRS913779","SRS913779","SGRP215285","aquatic","AMPLICON",1.7723,NA,7.7057,617,2,NA,"Unknown"
"SRR1980861.SRS913788","SRS913788","SGRP215285","aquatic","AMPLICON",1.7723,NA,7.7057,514,2,NA,"Unknown"
"SRR5643451.SRS2250291","SRS2250291","SGRP215285","aquatic","AMPLICON",1.7723,NA,7.7057,747,2,NA,"Unknown"
"SRR1980853.SRS913780","SRS913780","SGRP215285","aquatic","AMPLICON",1.7723,NA,7.7057,525,2,NA,"Unknown"
"SRR1980869.SRS913796","SRS913796","SGRP215285","aquatic","AMPLICON",1.7723,NA,7.7057,525,2,NA,"Unknown"
"SRR1980860.SRS913787","SRS913787","SGRP215285","aquatic","AMPLICON",1.7723,NA,7.7057,463,2,NA,"Unknown"
"SRR1980870.SRS913797","SRS913797","SGRP215285","aquatic","AMPLICON",1.7723,NA,7.7057,605,2,NA,"Unknown"
"ERR2372900.ERS2269341","ERS2269341","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,458,2,NA,"Unknown"
"ERR2372817.ERS2269350","ERS2269350","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,467,2,NA,"Unknown"
"ERR2372816.ERS2269340","ERS2269340","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,394,2,NA,"Unknown"
"ERR2372833.ERS2269336","ERS2269336","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,464,2,NA,"Unknown"
"ERR2372916.ERS2269422","ERS2269422","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,465,2,NA,"Unknown"
"ERR2372940.ERS2269418","ERS2269418","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,438,2,NA,"Unknown"
"ERR2372861.ERS2269395","ERS2269395","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,394,2,NA,"Unknown"
"ERR2372893.ERS2269339","ERS2269339","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,439,2,NA,"Unknown"
"ERR2372854.ERS2269337","ERS2269337","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,480,2,NA,"Unknown"
"ERR2372815.ERS2269358","ERS2269358","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,526,2,NA,"Unknown"
"ERR2372895.ERS2269346","ERS2269346","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,403,2,NA,"Unknown"
"ERR2372922.ERS2269424","ERS2269424","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,466,2,NA,"Unknown"
"ERR2372872.ERS2269367","ERS2269367","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,476,2,NA,"Unknown"
"ERR2372965.ERS2269417","ERS2269417","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,412,2,NA,"Unknown"
"ERR2372963.ERS2269313","ERS2269313","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,466,2,NA,"Unknown"
"ERR2372973.ERS2269419","ERS2269419","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,519,2,NA,"Unknown"
"ERR2372828.ERS2269435","ERS2269435","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,427,2,NA,"Unknown"
"ERR2372896.ERS2269374","ERS2269374","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,492,2,NA,"Unknown"
"ERR2372826.ERS2269437","ERS2269437","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,451,2,NA,"Unknown"
"ERR2372898.ERS2269384","ERS2269384","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,454,2,NA,"Unknown"
"ERR2372860.ERS2269338","ERS2269338","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,405,2,NA,"Unknown"
"ERR2372853.ERS2269438","ERS2269438","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,461,2,NA,"Unknown"
"ERR2372863.ERS2269349","ERS2269349","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,418,2,NA,"Unknown"
"ERR2372842.ERS2269439","ERS2269439","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,556,2,NA,"Unknown"
"ERR2372864.ERS2269352","ERS2269352","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,492,2,NA,"Unknown"
"ERR2372819.ERS2269351","ERS2269351","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,487,2,NA,"Unknown"
"ERR2372948.ERS2269326","ERS2269326","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,480,2,NA,"Unknown"
"ERR2372847.ERS2269396","ERS2269396","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,406,2,NA,"Unknown"
"ERR2372885.ERS2269385","ERS2269385","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,468,2,NA,"Unknown"
"ERR2372870.ERS2269353","ERS2269353","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,482,2,NA,"Unknown"
"ERR2372921.ERS2269328","ERS2269328","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,436,2,NA,"Unknown"
"ERR2372859.ERS2269386","ERS2269386","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,451,2,NA,"Unknown"
"ERR2372818.ERS2269379","ERS2269379","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,414,2,NA,"Unknown"
"ERR2372830.ERS2269408","ERS2269408","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,409,2,NA,"Unknown"
"ERR2372906.ERS2269409","ERS2269409","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,452,2,NA,"Unknown"
"ERR2372897.ERS2269355","ERS2269355","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,446,2,NA,"Unknown"
"ERR2372935.ERS2269323","ERS2269323","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,438,2,NA,"Unknown"
"ERR2372890.ERS2269357","ERS2269357","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,421,2,NA,"Unknown"
"SRR3500146.SRS1434413","SRS1434413","SGRP352455","aquatic","AMPLICON",1.875,NA,NA,419,2,NA,"Unknown"
"SRR10552237.SRS5734517","SRS5734517","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,425,2,NA,"Unknown"
"SRR3821387.SRS1551966","SRS1551966","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,485,2,NA,"Unknown"
"SRR3821655.SRS1552076","SRS1552076","SGRP94822","aquatic","AMPLICON",1.88,-60.0005,NA,528,2,60.0005,"Polar_Subpolar"
"SRR6419893.SRS2790080","SRS2790080","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,515,2,NA,"Unknown"
"SRR3821176.SRS1551741","SRS1551741","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,453,2,NA,"Unknown"
"SRR6419887.SRS2790087","SRS2790087","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,675,2,NA,"Unknown"
"SRR6419892.SRS2790083","SRS2790083","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,617,2,NA,"Unknown"
"SRR6419884.SRS2790090","SRS2790090","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,610,2,NA,"Unknown"
"SRR3821063.SRS1551778","SRS1551778","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,470,2,NA,"Unknown"
"SRR6419891.SRS2790082","SRS2790082","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,533,2,NA,"Unknown"
"SRR6419889.SRS2790085","SRS2790085","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,530,2,NA,"Unknown"
"SRR3821258.SRS1551882","SRS1551882","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,393,2,NA,"Unknown"
"SRR3821249.SRS1551874","SRS1551874","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,420,2,NA,"Unknown"
"SRR6419890.SRS2790084","SRS2790084","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,587,2,NA,"Unknown"
"SRR3821120.SRS1551805","SRS1551805","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,474,2,NA,"Unknown"
"SRR6419885.SRS2790089","SRS2790089","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,610,2,NA,"Unknown"
"SRR3821397.SRS1551972","SRS1551972","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,436,2,NA,"Unknown"
"SRR3821274.SRS1551887","SRS1551887","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,416,2,NA,"Unknown"
"SRR3820968.SRS1551696","SRS1551696","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,469,2,NA,"Unknown"
"SRR10552256.SRS5734498","SRS5734498","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,399,2,NA,"Unknown"
"SRR10552255.SRS5734499","SRS5734499","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,497,2,NA,"Unknown"
"SRR10552257.SRS5734497","SRS5734497","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,416,2,NA,"Unknown"
"SRR6419883.SRS2790091","SRS2790091","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,602,2,NA,"Unknown"
"SRR6419886.SRS2790088","SRS2790088","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,487,2,NA,"Unknown"
"SRR6419882.SRS2790092","SRS2790092","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,542,2,NA,"Unknown"
"SRR3821082.SRS1551783","SRS1551783","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,510,2,NA,"Unknown"
"SRR6419888.SRS2790086","SRS2790086","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,588,2,NA,"Unknown"
"SRR3821537.SRS1551698","SRS1551698","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,470,2,NA,"Unknown"
"SRR3821440.SRS1551696","SRS1551696","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,614,2,NA,"Unknown"
"SRR3821279.SRS1551890","SRS1551890","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,457,2,NA,"Unknown"
"SRR10552238.SRS5734516","SRS5734516","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,381,2,NA,"Unknown"
"SRR3821417.SRS1551923","SRS1551923","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,499,2,NA,"Unknown"
"SRR3821210.SRS1551843","SRS1551843","SGRP94822","aquatic","AMPLICON",1.88,NA,NA,494,2,NA,"Unknown"
"SRR3821214.SRS1551831","SRS1551831","SGRP349043","aquatic","AMPLICON",1.9,NA,NA,447,2,NA,"Unknown"
"SRR3821532.SRS1552011","SRS1552011","SGRP349043","aquatic","AMPLICON",1.9,-60.0005,NA,423,2,60.0005,"Polar_Subpolar"
"SRR3499991.SRS1434714","SRS1434714","SGRP340187","aquatic","AMPLICON",1.92307692307692,NA,NA,444,2,NA,"Unknown"
"SRR10965106.SRS6061879","SRS6061879","SGRP2696","aquatic;lake","AMPLICON",1.93333333333333,NA,9.925,472,2,NA,"Unknown"
"SRR10965155.SRS6061830","SRS6061830","SGRP2696","aquatic;lake","AMPLICON",1.93333333333333,NA,9.925,388,2,NA,"Unknown"
"SRR10965126.SRS6061859","SRS6061859","SGRP2696","aquatic;lake","AMPLICON",1.93333333333333,NA,9.925,415,2,NA,"Unknown"
"SRR10965135.SRS6061850","SRS6061850","SGRP2696","aquatic;lake","AMPLICON",1.93333333333333,NA,9.925,409,2,NA,"Unknown"
"SRR10965125.SRS6061860","SRS6061860","SGRP2696","aquatic;lake","AMPLICON",1.93333333333333,NA,9.925,517,2,NA,"Unknown"
"SRR10954050.SRS6052904","SRS6052904","SGRP1216","aquatic;lake","AMPLICON",1.99333333333333,NA,7.67411764705882,383,2,NA,"Unknown"
"SRR10954053.SRS6052900","SRS6052900","SGRP1216","aquatic;lake","AMPLICON",1.99333333333333,NA,7.67411764705882,411,2,NA,"Unknown"
"SRR10954038.SRS6052916","SRS6052916","SGRP1216","aquatic;lake","AMPLICON",1.99333333333333,NA,7.67411764705882,576,2,NA,"Unknown"
"SRR7384050.SRS3439373","SRS3439373","SGRP131448","aquatic","AMPLICON",2,NA,NA,445,2,NA,"Unknown"
"SRR7384030.SRS3439391","SRS3439391","SGRP131448","aquatic","AMPLICON",2,NA,NA,402,2,NA,"Unknown"
"SRR7384043.SRS3439380","SRS3439380","SGRP131448","aquatic","AMPLICON",2,NA,NA,430,2,NA,"Unknown"
"ERR2242566.ERS2085441","ERS2085441","SGRP215973","aquatic","AMPLICON",2,63.4468,NA,654,2,63.4468,"Polar_Subpolar"
