"Temp","Fit","FitType"
16.6,492.872196523028,"Gaussian_Mean"
16.7,492.347857045509,"Gaussian_Mean"
16.8,491.796035230254,"Gaussian_Mean"
16.9,491.21682476567,"Gaussian_Mean"
17,490.610323914272,"Gaussian_Mean"
17.1,489.976635484894,"Gaussian_Mean"
17.2,489.315866803652,"Gaussian_Mean"
17.3,488.628129683644,"Gaussian_Mean"
17.4,487.913540393424,"Gaussian_Mean"
17.5,487.172219624237,"Gaussian_Mean"
17.6,486.404292456052,"Gaussian_Mean"
17.7,485.609888322394,"Gaussian_Mean"
17.8,484.789140973981,"Gaussian_Mean"
17.9,483.942188441202,"Gaussian_Mean"
18,483.069172995434,"Gaussian_Mean"
18.1,482.17024110921,"Gaussian_Mean"
18.2,481.245543415277,"Gaussian_Mean"
18.3,480.295234664527,"Gaussian_Mean"
18.4,479.319473682849,"Gaussian_Mean"
18.5,478.318423326892,"Gaussian_Mean"
18.6,477.292250438783,"Gaussian_Mean"
18.7,476.241125799788,"Gaussian_Mean"
18.8,475.165224082962,"Gaussian_Mean"
18.9,474.064723804784,"Gaussian_Mean"
19,472.939807275815,"Gaussian_Mean"
19.1,471.790660550382,"Gaussian_Mean"
19.2,470.617473375312,"Gaussian_Mean"
19.3,469.420439137748,"Gaussian_Mean"
19.4,468.199754812046,"Gaussian_Mean"
19.5,466.95562090579,"Gaussian_Mean"
19.6,465.688241404937,"Gaussian_Mean"
19.7,464.397823718122,"Gaussian_Mean"
19.8,463.084578620128,"Gaussian_Mean"
19.9,461.748720194563,"Gaussian_Mean"
20,460.390465775751,"Gaussian_Mean"
20.1,459.010035889862,"Gaussian_Mean"
20.2,457.607654195307,"Gaussian_Mean"
20.3,456.183547422419,"Gaussian_Mean"
20.4,454.737945312444,"Gaussian_Mean"
20.5,453.271080555856,"Gaussian_Mean"
20.6,451.783188730034,"Gaussian_Mean"
20.7,450.274508236316,"Gaussian_Mean"
20.8,448.745280236445,"Gaussian_Mean"
20.9,447.195748588454,"Gaussian_Mean"
21,445.626159781988,"Gaussian_Mean"
21.1,444.036762873106,"Gaussian_Mean"
21.2,442.427809418573,"Gaussian_Mean"
21.3,440.799553409681,"Gaussian_Mean"
21.4,439.152251205605,"Gaussian_Mean"
21.5,437.486161466343,"Gaussian_Mean"
21.6,435.801545085231,"Gaussian_Mean"
21.7,434.098665121096,"Gaussian_Mean"
21.8,432.377786730038,"Gaussian_Mean"
21.9,430.639177096888,"Gaussian_Mean"
22,428.883105366355,"Gaussian_Mean"
22.1,427.109842573891,"Gaussian_Mean"
22.2,425.319661576298,"Gaussian_Mean"
22.3,423.512836982104,"Gaussian_Mean"
22.4,421.689645081725,"Gaussian_Mean"
22.5,419.850363777451,"Gaussian_Mean"
22.6,417.995272513266,"Gaussian_Mean"
22.7,416.12465220454,"Gaussian_Mean"
22.8,414.238785167602,"Gaussian_Mean"
