"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Richness","Temp_bin","AbsLatitude","LatRegion"
"SRR027400.SRS005882","SRS005882","SGRP303650","aquatic;marine","AMPLICON",0.296922222222222,79.9915,NA,206,0,79.9915,"Polar_Subpolar"
"ERR1698692.ERS1417604","ERS1417604","SGRP231895","aquatic","AMPLICON",0.366183666666667,NA,NA,765,0,NA,"Unknown"
"ERR562503.ERS491032","ERS491032","SGRP231895","aquatic","AMPLICON",0.366183666666667,-60.4062,NA,415,0,60.4062,"Polar_Subpolar"
"ERR1698714.ERS1417626","ERS1417626","SGRP231895","aquatic","AMPLICON",0.366183666666667,NA,NA,360,0,NA,"Unknown"
"SRR5242497.SRS1967666","SRS1967666","SGRP231895","aquatic","AMPLICON",0.366183666666667,NA,NA,157,0,NA,"Unknown"
"ERR1756091.ERS491157","ERS491157","SGRP231895","aquatic","AMPLICON",0.366183666666667,-64.3567,NA,671,0,64.3567,"Polar_Subpolar"
"ERR1756034.ERS491157","ERS491157","SGRP231895","aquatic","AMPLICON",0.366183666666667,-64.3567,NA,554,0,64.3567,"Polar_Subpolar"
"SRR5902246.SRS2408934","SRS2408934","SGRP198300","aquatic;sea","AMPLICON",0.38,NA,NA,77,0,NA,"Unknown"
"SRR5902248.SRS2408936","SRS2408936","SGRP198300","aquatic;sea","AMPLICON",0.38,NA,NA,47,0,NA,"Unknown"
"SRR5902233.SRS2408922","SRS2408922","SGRP198300","aquatic;sea","AMPLICON",0.38,NA,NA,76,0,NA,"Unknown"
"SRR5902229.SRS2408918","SRS2408918","SGRP198300","aquatic;sea","AMPLICON",0.38,NA,NA,53,0,NA,"Unknown"
"SRR5902238.SRS2408928","SRS2408928","SGRP198300","aquatic;sea","AMPLICON",0.38,NA,NA,41,0,NA,"Unknown"
"SRR5902242.SRS2408931","SRS2408931","SGRP198300","aquatic;sea","AMPLICON",0.38,NA,NA,73,0,NA,"Unknown"
"SRR5902240.SRS2408929","SRS2408929","SGRP198300","aquatic;sea","AMPLICON",0.38,NA,NA,69,0,NA,"Unknown"
"SRR5902244.SRS2408933","SRS2408933","SGRP198300","aquatic;sea","AMPLICON",0.38,NA,NA,64,0,NA,"Unknown"
"SRR5902213.SRS2408902","SRS2408902","SGRP198300","aquatic;sea","AMPLICON",0.38,NA,NA,42,0,NA,"Unknown"
"SRR5902231.SRS2408920","SRS2408920","SGRP198300","aquatic;sea","AMPLICON",0.38,NA,NA,38,0,NA,"Unknown"
"ERR1544642.ERS1262258","ERS1262258","SGRP40301","aquatic","AMPLICON",0.4,-62.232,NA,1073,0,62.232,"Polar_Subpolar"
"SRR5902241.SRS2408930","SRS2408930","SGRP40301","aquatic","AMPLICON",0.4,NA,NA,325,0,NA,"Unknown"
"ERR2854900.ERS2853678","ERS2853678","SGRP40301","aquatic","AMPLICON",0.4,48.261944,NA,147,0,48.261944,"Temperate"
"ERR1544641.ERS1262257","ERS1262257","SGRP40301","aquatic","AMPLICON",0.4,-62.232,NA,752,0,62.232,"Polar_Subpolar"
"ERR1544640.ERS1262256","ERS1262256","SGRP40301","aquatic","AMPLICON",0.4,-62.232,NA,621,0,62.232,"Polar_Subpolar"
"ERR1544638.ERS1262254","ERS1262254","SGRP40301","aquatic","AMPLICON",0.4,-62.231,NA,581,0,62.231,"Polar_Subpolar"
"ERR1544639.ERS1262255","ERS1262255","SGRP40301","aquatic","AMPLICON",0.4,-62.231,NA,713,0,62.231,"Polar_Subpolar"
"SRR7619132.SRS3607801","SRS3607801","SGRP40301","aquatic","AMPLICON",0.4,NA,NA,149,0,NA,"Unknown"
"SRR3821206.SRS1551840","SRS1551840","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,608,0,NA,"Unknown"
"SRR3821055.SRS1551775","SRS1551775","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,451,0,NA,"Unknown"
"SRR3821656.SRS1552000","SRS1552000","SGRP289595","aquatic","AMPLICON",0.401,-60.2472,NA,645,0,60.2472,"Polar_Subpolar"
"SRR3821280.SRS1551891","SRS1551891","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,433,0,NA,"Unknown"
"SRR3821069.SRS1551746","SRS1551746","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,523,0,NA,"Unknown"
"SRR3821145.SRS1551796","SRS1551796","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,476,0,NA,"Unknown"
"SRR3821386.SRS1551690","SRS1551690","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,456,0,NA,"Unknown"
"SRR3821136.SRS1551809","SRS1551809","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,617,0,NA,"Unknown"
"SRR3821171.SRS1551799","SRS1551799","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,463,0,NA,"Unknown"
"SRR3820977.SRS1551690","SRS1551690","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,337,0,NA,"Unknown"
"SRR3820961.SRS1551689","SRS1551689","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,360,0,NA,"Unknown"
"SRR3821276.SRS1551888","SRS1551888","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,332,0,NA,"Unknown"
"SRR3821632.SRS1552072","SRS1552072","SGRP289595","aquatic","AMPLICON",0.401,-61.9909,NA,636,0,61.9909,"Polar_Subpolar"
"SRR3821056.SRS1551752","SRS1551752","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,425,0,NA,"Unknown"
"SRR3821071.SRS1551745","SRS1551745","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,542,0,NA,"Unknown"
"SRR3821590.SRS1552055","SRS1552055","SGRP289595","aquatic","AMPLICON",0.401,-62.487,NA,498,0,62.487,"Polar_Subpolar"
"SRR3821081.SRS1551782","SRS1551782","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,494,0,NA,"Unknown"
"SRR4269892.SRS1704134","SRS1704134","SGRP289595","aquatic","AMPLICON",0.401,NA,NA,597,0,NA,"Unknown"
"SRR3821667.SRS1552012","SRS1552012","SGRP289595","aquatic","AMPLICON",0.401,-60.2507,NA,592,0,60.2507,"Polar_Subpolar"
"SRR3821538.SRS1552015","SRS1552015","SGRP289595","aquatic","AMPLICON",0.401,-60.7506,NA,456,0,60.7506,"Polar_Subpolar"
