Strain,source,data,E_lm,B0_lm,E_ss,B0_ss,Tpk,Ed,B0,E
Nichols_1999_Gelidibacter_sp,growth,,-0.4146818917643497,-10.815033322657538,0.633546678646254,1.9007174070369422e-5,26.23245890774563,1.779442112460524,0.24357368867071721,0.633546678646254
Nichols_1999_G_punicea,growth,,-0.8528666663175055,-11.687043721293527,1.112631108400997,8.38131855046109e-6,20.097042913223664,2.7385938685757147,-0.3492127987971445,1.112631108400997
Nichols_2000_2-5%_NaCl.JPG,growth,,-0.6517065150383256,-9.852460989671474,0.6655909129771646,5.50684693038891e-5,19.211914190413466,3.5035406660795343,1.0136938392409458,0.6655909129771646
Nichols_2000_4%_NaCl.JPG,growth,,-0.4871772373078467,-10.199081688184675,0.4814928905347284,3.7953922073160014e-5,19.281973360442123,3.59435972589676,0.7442327436574939,0.4814928905347284
Nichols_2002_L_monocytogenes,growth,,-0.8678748232999102,-10.81710076877349,0.7055101686222993,3.0641603097735835e-5,38.987874248106564,2.4475899246123802,0.589295061961714,0.7055101686222993
Piette_2011_P_haloplanktis,growth,,-0.48034251706044556,-9.594918503653338,0.506792213065961,6.853729882158858e-5,26.554067694070824,4.759229519323742,1.172096838133644,0.506792213065961
Saiko_1996_R_obamensis,growth,,-0.4076183071081749,-12.165726669939147,0.3484851437789332,7.941262327274661e-6,83.56819954074145,12.34784557102561,-0.38825812768594464,0.3484851437789332
Shcherbakova_2009_P_muriicola,growth,,0,0,1.2444624879743518,1.113416120731066e-5,20.89063590118461,3.2039047157549576,-0.14359898379708122,1.2444624879743518
Stahl_1977_FtR32,growth,,-0.8296135470021682,-11.303835036585568,0.5804884286449816,3.0191378089259326e-5,54.605073469064,16.69176024137718,0.5785788094629298,0.5804884286449816
Stahl_1977_m100,growth,,-1.1076984624932897,-11.298770059897423,0.8299927367803988,2.232922900115359e-5,38.43554700044445,3.0473905328161703,0.3601891799045896,0.8299927367803988
Takai_2005_D01,growth,,0,0,0.4486659543729194,7.849279770012037e-5,40.618495556475764,1.986965373707228,1.2702866230221195,0.4486659543729194
Nevot_P_antarctica,growth,,-0.5994457567939948,-10.169104976544954,0.5320620629988672,3.948351165626826e-5,22.11283141545595,2.890488800346272,0.7728366238539816,0.5320620629988672
I-2,growth,,-1.3351008856027917,-13.207800685118922,1.2417018611765,2.347898113802085e-6,37.69651171027377,7.499957838664007,-1.2704406942772246,1.2417018611765
III.1,growth,,-1.2447394160016652,-11.869960459365835,0.8786974055394737,1.4733506516153728e-5,37.08141594625402,4.255980947148097,0.05918672892743794,0.8786974055394737
III.2,growth,,-1.020070335316038,-11.834838559424101,0.922880155101613,9.052684020173486e-6,38.06498890508101,5.181307948235295,-0.2934273149801471,0.922880155101613
IV.1,growth,,-1.2731006672587504,-11.881321730702684,1.007757332740282,1.055207012404396e-5,36.594602258757035,4.27973366670165,-0.18247266642672852,1.007757332740282
IV.4,growth,,-0.8047951293481839,-11.343726583732433,0.7417717891664544,1.385056658872826e-5,34.35775547522944,4.826775146988243,0.01444737381519918,0.7417717891664544
IV.5,growth,,-0.968188994222625,-11.734103952754126,0.9647486758068402,8.171769367090197e-6,37.475160405589506,5.861169509409838,-0.3675433129006313,0.9647486758068402
VII,growth,,-1.2833890234909202,-12.526361139247964,0.8594392485557107,8.609571451720113e-6,34.30257118249305,8.83139736517769,-0.3297605059501043,0.8594392485557107
VIII-3,growth,,-1.5325996121570764,-13.55058828926178,1.3773881948285553,1.950192502174967e-6,37.10010371392426,6.217700244653456,-1.4048021609918417,1.3773881948285553
IX,growth,,-0.9798410480452544,-12.27243214609557,0.8683900429364716,5.563181296848717e-6,30.837841464778236,11.460081598030355,-0.6459169868895189,0.8683900429364716
X.1,growth,,-0.8789045697357328,-11.410914748668082,0.9374059202810655,9.707306038877031e-6,38.90549245845141,3.82973524534013,-0.2428822380411023,0.9374059202810655
XIII,growth,,-0.9083382431012839,-12.252659013855588,0.9373269984982484,4.581069799906431e-6,31.893450933522164,6.226400894107451,-0.7865371933188096,0.9373269984982484
XVI-1.1,growth,,-1.204603421204441,-12.724264876042854,1.0645611540735926,4.164201504865493e-6,34.10049020942776,5.030836428785775,-0.8556087644659064,1.0645611540735926
XVI-3,growth,,-1.2138039920412786,-12.768435404534133,1.8156164631138607,2.4947987643265083e-6,23.11877407422382,1.870873700142306,-1.2265053342560912,1.8156164631138607
XVIII.1,growth,,-1.2258787623628142,-12.454451320011117,0.8997164409407676,7.77966207219309e-6,37.23819682841643,7.806267735508963,-0.40314226792752056,0.8997164409407676
XVIII.2,growth,,-1.1056471034812672,-12.215219349495168,1.048322791712426,5.7800089305710075e-6,34.098028329897296,5.160509734275189,-0.6182363031948036,1.048322791712426
XXIV,growth,,-0.8358385304558827,-10.944703334937055,0.7938938280708575,1.969455720006466e-5,38.810892348090235,4.295486284327013,0.269292958959706,0.7938938280708575
XXV,growth,,-1.181632489391924,-11.703517087328475,0.9223972716470057,1.4367356605582193e-5,34.649881152837295,5.758686686797174,0.04096789928830343,0.9223972716470057
Ungrouped.1,growth,,-1.234390044214652,-12.279960177605194,1.0132618841447627,7.95593192990425e-6,38.639860639150186,4.934532718997471,-0.38692201685230904,1.0132618841447627
Ungrouped.3,growth,,-1.263753549407197,-12.367939846816338,1.1725956071096661,4.952678161603121e-6,32.93438667708653,4.96911442365775,-0.7300712756227924,1.1725956071096661
Ungrouped.4,growth,,-0.9774711677080872,-12.633239390295154,0.9987139564487733,3.1796828607680436e-6,30.65519591483878,6.78513356376942,-1.050891931028193,0.9987139564487733
Ungrouped.5,growth,,0,0,1.2106307676033987,2.6250608459103785e-6,33.097481851566506,5.65949983445379,-1.1896586688613167,1.2106307676033987
Ungrouped.7,growth,,-1.0599220465867536,-12.198804731498686,0.8669663010031531,6.76051288083462e-6,30.85836185134473,10.649680431961244,-0.5047964748908231,0.8669663010031531
NCTC 418,growth,,0,0,0.9309445156212698,1.706110646546933e-5,38.58672526643591,2.867543167456695,0.16537509497145625,0.9309445156212698
LM1_2a,growth,,-0.9456868436293535,-11.021649842716748,0.7960170032028632,2.9046283860067992e-5,38.02173250313016,1.863504066784591,0.5505862948688883,0.7960170032028632
LM1_2b,growth,,-0.910368553103942,-10.823173428224615,0.7710558798077808,2.8766560831336675e-5,38.98635361607329,2.03660293279923,0.543580591172672,0.7710558798077808
LM4b,growth,,-0.9838516949629955,-11.20508618880987,0.8858027143341936,2.456496465433226e-5,35.49343994966982,1.6266753653774493,0.4292728260472818,0.8858027143341936
TS_Oscar2002,growth,,-1.0072596732991153,-11.655520068401376,0.7524228805448171,1.8909057319936756e-5,40.63805134421266,2.1399572062904144,0.23982686328419395,0.7524228805448171
EC_Daughtry1997,growth,,-0.8814134600373483,-10.711761111891397,1.3795657925120348,2.0694386134884618e-5,23.960660912906945,1.1558877928887727,0.3051435599345089,1.3795657925120348
EC_Ingraham1958,growth,,-1.1640120281349797,-11.217023127439722,1.329480512088945,1.239229764958211e-5,34.37607157481655,1.70310367540257,-0.06609389983304405,1.329480512088945
EC_Ratkowsky1991,growth,,-0.908229165345728,-11.335399147999347,1.260888599886694,1.2300177000355559e-5,28.970232200547468,1.1524479106698786,-0.07149570457548633,1.260888599886694
CP_Beef,growth,,-1.1503937361949483,-11.633167955859628,0.9681250528516585,1.8545731480683533e-5,45.10881585088598,2.3215549933502193,0.2257810448888798,0.9681250528516585
CP_Chicken,growth,,-1.2660970838859047,-11.995570409145174,0.6139750084199894,4.8094810633069755e-5,48.26273229128483,3.8849644644938532,0.915667483179163,0.6139750084199894
CP_Pork,growth,,-0.8464575746194996,-10.960238507581415,0.577850980894711,4.313635852566142e-5,50.49785403446971,5.984617835481784,0.8368948152318052,0.577850980894711
ltk10_growth,growth,,-0.8700885131020967,-12.72387493026358,0.6164598699635276,3.3658374796118137e-6,23.032234836623374,16.679750482400816,-1.009701981026423,0.6164598699635276
ak30_growth,growth,,-1.0229217737159673,-13.900217232653992,0.8024888776514812,1.684383522129217e-6,33.473860306725605,2.324715578051514,-1.510882881242562,0.8024888776514812
